,year,Under 15 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over
0,1999,0.10000000000000002,1.10625,2.533333333333333,4.449999999999999,3.488888888888889,1.3933333333333335,0.9800000000000001,1.4000000000000001,3.9
1,2000,0.12000000000000002,1.275,2.5166666666666666,4.516666666666667,3.711111111111111,1.34375,0.9444444444444444,1.875,4.733333333333333
2,2001,0.11666666666666668,1.464705882352941,2.738888888888889,4.927777777777778,4.177777777777778,1.4941176470588236,1.088888888888889,1.2857142857142858,2.875
3,2002,0.13333333333333333,1.7222222222222223,3.4555555555555557,5.911111111111111,5.327777777777778,1.8823529411764706,1.0666666666666667,1.3125,3.08
4,2003,0.11666666666666668,2.066666666666667,3.783333333333333,6.144444444444444,5.911111111111111,2.2058823529411766,1.209090909090909,1.3,2.4499999999999997
5,2004,0.125,2.2888888888888888,4.077777777777778,6.277777777777778,6.316666666666666,2.4000000000000004,1.175,1.4,3.275
6,2005,0.1142857142857143,2.388888888888889,4.655555555555555,6.344444444444445,6.9944444444444445,2.947058823529412,1.2384615384615385,1.29,2.5833333333333335
7,2006,0.1125,2.9388888888888887,5.644444444444444,7.155555555555556,8.06111111111111,3.5411764705882356,1.2642857142857142,1.4555555555555555,2.3000000000000003
8,2007,0.13,3.0055555555555555,5.994444444444444,7.161111111111111,8.338888888888889,3.9055555555555554,1.5230769230769232,1.4111111111111112,2.542857142857143
9,2008,0.13,3.05,6.105555555555556,7.205555555555555,8.616666666666667,4.216666666666667,1.4875,1.6375,2.2
10,2009,0.1375,2.961111111111111,6.433333333333334,7.2333333333333325,8.777777777777779,4.655555555555555,1.6125,1.4636363636363638,2.3857142857142857
11,2010,0.14444444444444446,3.1666666666666665,6.916666666666667,7.383333333333334,8.666666666666666,5.016666666666667,1.707142857142857,1.44,2.4875
12,2011,0.1375,3.3444444444444446,7.588888888888889,7.922222222222222,9.194444444444445,5.300000000000001,1.6823529411764706,1.44,2.2714285714285714
13,2012,0.1375,3.0833333333333335,7.650000000000001,7.927777777777779,9.277777777777779,5.616666666666666,1.8470588235294116,1.3909090909090909,2.1875
14,2013,0.1375,3.272222222222222,8.194444444444445,8.38888888888889,9.661111111111111,6.605555555555556,2.0941176470588236,1.7000000000000002,2.177777777777778
15,2014,0.13333333333333336,3.55,9.533333333333333,9.677777777777777,10.372222222222222,7.294444444444445,2.394117647058824,1.65,2.1375
16,2015,0.14444444444444446,4.111111111111111,11.566666666666666,11.43888888888889,11.327777777777778,8.116666666666667,2.45,1.72,2.2
17,2016,0.13333333333333336,5.427777777777778,15.511111111111111,14.966666666666665,13.75,9.966666666666667,2.911111111111111,1.6800000000000002,2.0
18,2017,0.14,5.644444444444445,17.51111111111111,17.038888888888888,15.538888888888888,11.216666666666667,3.3944444444444444,1.575,2.0555555555555554
19,2018,0.1125,4.961111111111111,16.783333333333335,17.183333333333334,14.833333333333334,11.422222222222222,3.922222222222222,1.7333333333333334,1.9625
